Mês;Unidade BH Centro;Unidade BH Pampulha;Unidade BH Belvedere;Unidade Betim;Unidade Contagem
1;82,3;84,2;57,1;82,5;63,2
2;82,3;84,2;67,9;81,1;59,3
3;81,37;84,2;69,6;79,7;61,2
4;80,44;80,3;71,3;81,95;63,1
5;79,5;79,3;64,2;84,2;60,9
6;83,2;78,3;65,8;82,35;58,7
7;76,4;80,4;67,4;80,5;58,9
8;77,85;82,5;69,63;83,2;59,1
9;79,3;83,1;71,87;79,8;59,3
10;82,4;83,7;74,1;81,9;58,6
11;71,5;83,05;70,8;84,7;57,9
12;73,05;82,4;62,7;87,5;56,3
13;74,6;79,6;54,6;84,6;54,7
14;79,2;81,2;55,2;81,2;49,3
15;74,8;75,8;59,8;79,8;34,3
16;78,3;81,3;64,3;80,3;37,2
17;73,2;75,9;60,7;77,5;30,2
18;77,8;74,9;57;76,3;34,2
19;76,1;83,1;56,1;78,1;37,2
20;79,5;80,5;60,5;80,5;51,5
21;75,1;78,1;55,1;79,1;38,3
22;72,7;76,7;52,7;82,1;30,1
23;77,2;77,2;52,2;77,2;52,3
24;78;81;53;83;44,1
